CUT (Código Único Territorial),Nombre,Región,Provincia
15101,Arica,Arica y Parinacota,Arica
15102,Camarones,Arica y Parinacota,Arica
15201,Putre,Arica y Parinacota,Parinacota
15202,General Lagos,Arica y Parinacota,Parinacota
1101,Iquique,Tarapacá,Iquique
1107,Alto Hospicio,Tarapacá,Iquique
1401,Pozo Almonte,Tarapacá,Tamarugal
1402,Camiña,Tarapacá,Tamarugal
1403,Colchane,Tarapacá,Tamarugal
1404,Huara,Tarapacá,Tamarugal
1405,Pica,Tarapacá,Tamarugal
2101,Antofagasta,Antofagasta,Antofagasta
2102,Mejillones,Antofagasta,Antofagasta
2103,Sierra Gorda,Antofagasta,Antofagasta
2104,Taltal,Antofagasta,Antofagasta
2201,Calama,Antofagasta,El Loa
2202,Ollagüe,Antofagasta,El Loa
2203,San Pedro de Atacama,Antofagasta,El Loa
2301,Tocopilla,Antofagasta,Tocopilla
2302,María Elena,Antofagasta,Tocopilla
3101,Copiapó,Atacama,Copiapó
3102,Caldera,Atacama,Copiapó
3103,Tierra Amarilla,Atacama,Copiapó
3201,Chañaral,Atacama,Chañaral
3202,Diego de Almagro,Atacama,Chañaral
3301,Vallenar,Atacama,Huasco
3302,Alto del Carmen,Atacama,Huasco
3303,Freirina,Atacama,Huasco
3304,Huasco,Atacama,Huasco
4101,La Serena,Coquimbo,Elqui
4102,Coquimbo,Coquimbo,Elqui
4103,Andacollo,Coquimbo,Elqui
4104,La Higuera,Coquimbo,Elqui
4105,Paihuano,Coquimbo,Elqui
4106,Vicuña,Coquimbo,Elqui
4201,Illapel,Coquimbo,Choapa
4202,Canela,Coquimbo,Choapa
4203,Los Vilos,Coquimbo,Choapa
4204,Salamanca,Coquimbo,Choapa
4301,Ovalle,Coquimbo,Limarí
4302,Combarbalá,Coquimbo,Limarí
4303,Monte Patria,Coquimbo,Limarí
4304,Punitaqui,Coquimbo,Limarí
4305,Río Hurtado,Coquimbo,Limarí
5101,Valparaíso,Valparaíso,Valparaíso
5102,Casablanca,Valparaíso,Valparaíso
5103,Concón,Valparaíso,Valparaíso
5104,Juan Fernández,Valparaíso,Valparaíso
5105,Puchuncaví,Valparaíso,Valparaíso
5107,Quintero,Valparaíso,Valparaíso
5109,Viña del Mar,Valparaíso,Valparaíso
5201,Isla de Pascua,Valparaíso,Isla de Pascua
5301,Los Andes,Valparaíso,Los Andes
5302,Calle Larga,Valparaíso,Los Andes
5303,Rinconada,Valparaíso,Los Andes
5304,San Esteban,Valparaíso,Los Andes
5401,La Ligua,Valparaíso,Petorca
5402,Cabildo,Valparaíso,Petorca
5403,Papudo,Valparaíso,Petorca
5404,Petorca,Valparaíso,Petorca
5405,Zapallar,Valparaíso,Petorca
5501,Quillota,Valparaíso,Quillota
5502,La Calera,Valparaíso,Quillota
5503,Hijuelas,Valparaíso,Quillota
5504,La Cruz,Valparaíso,Quillota
5506,Nogales,Valparaíso,Quillota
5601,San Antonio,Valparaíso,San Antonio
5602,Algarrobo,Valparaíso,San Antonio
5603,Cartagena,Valparaíso,San Antonio
5604,El Quisco,Valparaíso,San Antonio
5605,El Tabo,Valparaíso,San Antonio
5606,Santo Domingo,Valparaíso,San Antonio
5701,San Felipe,Valparaíso,San Felipe de Aconcagua
5702,Catemu,Valparaíso,San Felipe de Aconcagua
5703,Llay-Llay,Valparaíso,San Felipe de Aconcagua
5704,Panquehue,Valparaíso,San Felipe de Aconcagua
5705,Putaendo,Valparaíso,San Felipe de Aconcagua
5706,Santa María,Valparaíso,San Felipe de Aconcagua
5801,Quilpué,Valparaíso,Marga Marga
5802,Limache,Valparaíso,Marga Marga
5803,Olmué,Valparaíso,Marga Marga
5804,Villa Alemana,Valparaíso,Marga Marga
6101,Rancagua,Lib. Gral. Bernardo O'Higgins,Cachapoal
6102,Codegua,Lib. Gral. Bernardo O'Higgins,Cachapoal
6103,Coinco,Lib. Gral. Bernardo O'Higgins,Cachapoal
6104,Coltauco,Lib. Gral. Bernardo O'Higgins,Cachapoal
6105,Doñihue,Lib. Gral. Bernardo O'Higgins,Cachapoal
6106,Graneros,Lib. Gral. Bernardo O'Higgins,Cachapoal
6107,Las Cabras,Lib. Gral. Bernardo O'Higgins,Cachapoal
6108,Machalí,Lib. Gral. Bernardo O'Higgins,Cachapoal
6109,Malloa,Lib. Gral. Bernardo O'Higgins,Cachapoal
6110,Mostazal,Lib. Gral. Bernardo O'Higgins,Cachapoal
6111,Olivar,Lib. Gral. Bernardo O'Higgins,Cachapoal
6112,Peumo,Lib. Gral. Bernardo O'Higgins,Cachapoal
6113,Pichidegua,Lib. Gral. Bernardo O'Higgins,Cachapoal
6114,Quinta de Tilcoco,Lib. Gral. Bernardo O'Higgins,Cachapoal
6115,Rengo,Lib. Gral. Bernardo O'Higgins,Cachapoal
6116,Requínoa,Lib. Gral. Bernardo O'Higgins,Cachapoal
6117,San Vicente,Lib. Gral. Bernardo O'Higgins,Cachapoal
6201,Pichilemu,Lib. Gral. Bernardo O'Higgins,Cardenal Caro
6202,La Estrella,Lib. Gral. Bernardo O'Higgins,Cardenal Caro
6203,Litueche,Lib. Gral. Bernardo O'Higgins,Cardenal Caro
6204,Marchigüe,Lib. Gral. Bernardo O'Higgins,Cardenal Caro
6205,Navidad,Lib. Gral. Bernardo O'Higgins,Cardenal Caro
6206,Paredones,Lib. Gral. Bernardo O'Higgins,Cardenal Caro
6301,San Fernando,Lib. Gral. Bernardo O'Higgins,Colchagua
6302,Chépica,Lib. Gral. Bernardo O'Higgins,Colchagua
6303,Chimbarongo,Lib. Gral. Bernardo O'Higgins,Colchagua
6304,Lolol,Lib. Gral. Bernardo O'Higgins,Colchagua
6305,Nancagua,Lib. Gral. Bernardo O'Higgins,Colchagua
6306,Palmilla,Lib. Gral. Bernardo O'Higgins,Colchagua
6307,Peralillo,Lib. Gral. Bernardo O'Higgins,Colchagua
6308,Placilla,Lib. Gral. Bernardo O'Higgins,Colchagua
6309,Pumanque,Lib. Gral. Bernardo O'Higgins,Colchagua
6310,Santa Cruz,Lib. Gral. Bernardo O'Higgins,Colchagua
7101,Talca,Maule,Talca
7102,Constitución,Maule,Talca
7103,Curepto,Maule,Talca
7104,Empedrado,Maule,Talca
7105,Maule,Maule,Talca
7106,Pelarco,Maule,Talca
7107,Pencahue,Maule,Talca
7108,Río Claro,Maule,Talca
7109,San Clemente,Maule,Talca
7110,San Rafael,Maule,Talca
7201,Cauquenes,Maule,Cauquenes
7202,Chanco,Maule,Cauquenes
7203,Pelluhue,Maule,Cauquenes
7301,Curicó,Maule,Curicó
7302,Hualañé,Maule,Curicó
7303,Licantén,Maule,Curicó
7304,Molina,Maule,Curicó
7305,Rauco,Maule,Curicó
7306,Romeral,Maule,Curicó
7307,Sagrada Familia,Maule,Curicó
7308,Teno,Maule,Curicó
7309,Vichuquén,Maule,Curicó
7401,Linares,Maule,Linares
7402,Colbún,Maule,Linares
7403,Longaví,Maule,Linares
7404,Parral,Maule,Linares
7405,Retiro,Maule,Linares
7406,San Javier,Maule,Linares
7407,Villa Alegre,Maule,Linares
7408,Yerbas Buenas,Maule,Linares
16101,Chillán,Ñuble,Diguillín
16102,Bulnes,Ñuble,Diguillín
16103,Chillán Viejo,Ñuble,Diguillín
16104,El Carmen,Ñuble,Diguillín
16105,Pemuco,Ñuble,Diguillín
16106,Pinto,Ñuble,Diguillín
16107,Quillón,Ñuble,Diguillín
16108,San Ignacio,Ñuble,Diguillín
16109,Yungay,Ñuble,Diguillín
16201,Quirihue,Ñuble,Itata
16202,Cobquecura,Ñuble,Itata
16203,Coelemu,Ñuble,Itata
16204,Ninhue,Ñuble,Itata
16205,Portezuelo,Ñuble,Itata
16206,Ránquil,Ñuble,Itata
16207,Treguaco,Ñuble,Itata
16301,San Carlos,Ñuble,Punilla
16302,Coihueco,Ñuble,Punilla
16303,Ñiquén,Ñuble,Punilla
16304,San Fabián,Ñuble,Punilla
16305,San Nicolás,Ñuble,Punilla
8101,Concepción,Biobío,Concepción
8102,Coronel,Biobío,Concepción
8103,Chiguayante,Biobío,Concepción
8104,Florida,Biobío,Concepción
8105,Hualqui,Biobío,Concepción
8106,Lota,Biobío,Concepción
8107,Penco,Biobío,Concepción
8108,San Pedro de La Paz,Biobío,Concepción
8109,Santa Juana,Biobío,Concepción
8110,Talcahuano,Biobío,Concepción
8111,Tomé,Biobío,Concepción
8112,Hualpén,Biobío,Concepción
8201,Lebu,Biobío,Arauco
8202,Arauco,Biobío,Arauco
8203,Cañete,Biobío,Arauco
8204,Contulmo,Biobío,Arauco
8205,Curanilahue,Biobío,Arauco
8206,Los Álamos,Biobío,Arauco
8207,Tirúa,Biobío,Arauco
8301,Los Ángeles,Biobío,Biobío
8302,Antuco,Biobío,Biobío
8303,Cabrero,Biobío,Biobío
8304,Laja,Biobío,Biobío
8305,Mulchén,Biobío,Biobío
8306,Nacimiento,Biobío,Biobío
8307,Negrete,Biobío,Biobío
8308,Quilaco,Biobío,Biobío
8309,Quilleco,Biobío,Biobío
8310,San Rosendo,Biobío,Biobío
8311,Santa Bárbara,Biobío,Biobío
8312,Tucapel,Biobío,Biobío
8313,Yumbel,Biobío,Biobío
8314,Alto Biobío,Biobío,Biobío
9101,Temuco,La Araucanía,Cautín
9102,Carahue,La Araucanía,Cautín
9103,Cunco,La Araucanía,Cautín
9104,Curarrehue,La Araucanía,Cautín
9105,Freire,La Araucanía,Cautín
9106,Galvarino,La Araucanía,Cautín
9107,Gorbea,La Araucanía,Cautín
9108,Lautaro,La Araucanía,Cautín
9109,Loncoche,La Araucanía,Cautín
9110,Melipeuco,La Araucanía,Cautín
9111,Nueva Imperial,La Araucanía,Cautín
9112,Padre Las Casas,La Araucanía,Cautín
9113,Perquenco,La Araucanía,Cautín
9114,Pitrufquén,La Araucanía,Cautín
9115,Pucón,La Araucanía,Cautín
9116,Saavedra,La Araucanía,Cautín
9117,Teodoro Schmidt,La Araucanía,Cautín
9118,Toltén,La Araucanía,Cautín
9119,Vilcún,La Araucanía,Cautín
9120,Villarrica,La Araucanía,Cautín
9121,Cholchol,La Araucanía,Cautín
9201,Angol,La Araucanía,Malleco
9202,Collipulli,La Araucanía,Malleco
9203,Curacautín,La Araucanía,Malleco
9204,Ercilla,La Araucanía,Malleco
9205,Lonquimay,La Araucanía,Malleco
9206,Los Sauces,La Araucanía,Malleco
9207,Lumaco,La Araucanía,Malleco
9208,Purén,La Araucanía,Malleco
9209,Renaico,La Araucanía,Malleco
9210,Traiguén,La Araucanía,Malleco
9211,Victoria,La Araucanía,Malleco
14101,Valdivia,Los Ríos,Valdivia
14102,Corral,Los Ríos,Valdivia
14103,Lanco,Los Ríos,Valdivia
14104,Los Lagos,Los Ríos,Valdivia
14105,Máfil,Los Ríos,Valdivia
14106,Mariquina,Los Ríos,Valdivia
14107,Paillaco,Los Ríos,Valdivia
14108,Panguipulli,Los Ríos,Valdivia
14201,La Unión,Los Ríos,Ranco
14202,Futrono,Los Ríos,Ranco
14203,Lago Ranco,Los Ríos,Ranco
14204,Río Bueno,Los Ríos,Ranco
10101,Puerto Montt,Los Lagos,Llanquihue
10102,Calbuco,Los Lagos,Llanquihue
10103,Cochamó,Los Lagos,Llanquihue
10104,Fresia,Los Lagos,Llanquihue
10105,Frutillar,Los Lagos,Llanquihue
10106,Los Muermos,Los Lagos,Llanquihue
10107,Llanquihue,Los Lagos,Llanquihue
10108,Maullín,Los Lagos,Llanquihue
10109,Puerto Varas,Los Lagos,Llanquihue
10201,Castro,Los Lagos,Chiloé
10202,Ancud,Los Lagos,Chiloé
10203,Chonchi,Los Lagos,Chiloé
10204,Curaco de Vélez,Los Lagos,Chiloé
10205,Dalcahue,Los Lagos,Chiloé
10206,Puqueldón,Los Lagos,Chiloé
10207,Queilén,Los Lagos,Chiloé
10208,Quellón,Los Lagos,Chiloé
10209,Quemchi,Los Lagos,Chiloé
10210,Quinchao,Los Lagos,Chiloé
10301,Osorno,Los Lagos,Osorno
10302,Puerto Octay,Los Lagos,Osorno
10303,Purranque,Los Lagos,Osorno
10304,Puyehue,Los Lagos,Osorno
10305,Río Negro,Los Lagos,Osorno
